,artist_name,track_name,track_id,popularity,track_type,track_duration
0,Bruno Mars,Talking to the Moon,161DnLWsx1i3u1JT05lzqU,86,track,217866
1,Leonardo Makno,Year 2020,08ejYlzduA6O82FJgnFKQz,38,track,133281
2,Chief Keef,Love Sosa,4IowQDUOzUvNtp72HMDcKO,75,track,246213
3,Anthem Lights,Best of 2010: Baby / Break Even / Need You Now / Dynamite / Tik Tok / Airplanes,5J1iMCE9SnuOqwRwOpVxhp,43,track,155341
4,Mac Miller,The Spins,51pshtuYkgUQnt5huMPbKL,81,track,195873
5,Waylon Jennings,The Year 2003 Minus 25 - Remastered,0sFq478LIo9BFwf2qzMzzF,45,track,184266
6,Miguel,Sure Thing,0JXXNGljqupsJaZsgSbMZV,82,track,195373
7,Nothing More,Gone (Acoustic 2010),6IAlJ7TVGye3fC9VJgigMr,31,track,258786
8,Roar,I Can't Handle Change,0I1eFRytp4XRhLCjT6tZm7,82,track,198213
9,Suffused,Year 2008 - MSZ Remix,7FmPp4BjDVaEwhsEO7B7Oe,21,track,457306
10,Bruno Mars,Just the Way You Are,7BqBn9nzAq8spo5e7cZ0dJ,82,track,220733
11,The Wonder Years,You’re not Salinger. Get over It.,6HpJri9Q9YVE8yN3JZdwQu,26,track,222663
12,Train,"Hey, Soul Sister",4HlFJV71xXKIGcU3kRyttv,83,track,216773
13,Mekhi Morse Huff,Anthem For The Year 2000,4mc5bOtK8Jq8t6HRTSNvqj,42,track,220786
14,Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),03tqyYWC9Um2ZqU0ZN849H,76,track,263773
15,Brandi Carlile,"Sixty Years On - Live at Benaroya Hall, Seattle, WA - November 2010",7hrxbKc7sUWng9lTdr6OOz,22,track,291640
16,Nicki Minaj,Super Bass,3hlksXnvbKogFdPbpO9vel,79,track,200013
17,Anabella Esparza Carpenter,Anthem For The Year 2000,5qKUNZ6yglgky2BfBaGDKT,42,track,220891
18,Zac Brown Band,Knee Deep (feat. Jimmy Buffett),0b2IVjeD268pYd7VUhmtKI,75,track,203173
19,The Wonder Years,Won’t Be Pathetic Forever,3wNhtNnEkp940yrvv3KUSn,24,track,179969
20,Jason Aldean,Dirt Road Anthem,2qYsSHsYkihWx043HVJQRV,74,track,229400
21,Matias Grandom,Year 2000,0QXEvVJyHIQhVzci6kBULo,20,track,194507
22,Mike Posner,Please Don't Go,6jg5SRvdGxvJ0DzNV0UqEK,79,track,196813
23,Yello,Distant Solution - 2010,34f15u54lqj9sjx7DcaUdl,31,track,230040
24,Kesha,TiK ToK,0HPD5WQqrq7wPWR7P7Dw1i,81,track,199693
25,Schoolgirl Byebye,"Year,2015",0UsmyJDsst2xhX1ZiFF3JW,25,track,74301
26,Bruno Mars,Grenade,2tJulUYLDKOg9XrtVkMgcJ,77,track,223253
27,The Wonder Years,Solo & Chewy: Holdin’ it Down,0SaGba8bJackqFp9icBlR8,23,track,194008
28,Eminem,Love The Way You Lie,15JINEqzVMv3SvJTAXAKED,82,track,263373
29,Silverchair,Anthem for the Year 2000,3LMpZcOhaz2CUX5rfoCNRs,47,track,247786
30,Kanye West,POWER,2gZUPNdnz5Y45eiGxpHGSc,78,track,292093
31,Matt Monro,We're Gonna Change The World - Remastered 2010,5fHn2M3QwAqls4fPnvbSiX,19,track,218706
32,Taio Cruz,Dynamite,1DqdF42leyFIzqNDv9CjId,73,track,203866
33,Job Martin Kwak,Anthem for the Year 2020,12znYKi8PvKGmv5yfhp3xX,29,track,94760
34,Usher,DJ Got Us Fallin' In Love (feat. Pitbull),4356Typ82hUiFAynbLYbPn,80,track,220800
35,The Wonder Years,An Elegy for Baby Blue,6RMpR8v0WmlIhChhua2hso,21,track,145113
36,Neon Trees,Animal,1fBl642IhJOE5U319Gy2Go,72,track,212293
37,Anthem Lights,K-LOVE Fan Awards: Songs of the Year (2015 Mash-Up),5rJw9VsPNdfnV9Ar97xZG2,33,track,182287
38,Kanye West,Devil In A New Dress,1UGD3lW3tDmgZfAVDh6w7r,75,track,351946
39,The Wonder Years,Mike Kennedy is a Bad Friend,4sAmuFVZheVcDg57sBk19P,20,track,74653
40,Trey Songz,Bottoms Up (feat. Nicki Minaj),4AYX69oFP3UOS1CFmV9UfO,73,track,242013
41,Year 200X,Ducktales (the Moon),1xQvPFljQXA3GCK869ERvC,23,track,131253
42,Kanye West,Runaway,3DK6m7It6Pw857FcQftMds,75,track,547733
43,The Wonder Years,Hey Julie,0taEJLD5LCdeDNueqr18SB,20,track,164928
44,Kanye West,All Of The Lights,22L7bfCiAkJo5xGSQgmiIO,76,track,299613
45,Year 200X,Zelda II (Title - Battle - Fairy - Palace),4gpjBYc0lAkhYnmnfMeq4g,20,track,386226
46,P!nk,Raise Your Glass,1gv4xPanImH17bKZ9rOveR,78,track,202960
47,Pink Floyd,Jugband Blues - 2010 Mix,08R6bwJHKMpQwc9uCgoLlG,22,track,181746
48,Kid Cudi,Mr. Rager,393MDhe62s8hbH8ETrlxe5,74,track,294226
49,Third Eye Blind,Losing a Whole Year - 2006 Remaster,4OtTVS1297d8h56MAX4Wpy,28,track,200906
